5658
				posX    posY    scaleX    scaleY
Ball			50		600      0.25     5658
Enemy           1500    750      0.25     0.25
Enemy           3000    300      0.25     0.25  
Enemy           4000    250      0.25     0.25  
Enemy           5000    250      0.25     0.25 
Box             1800    750       1       1
Star            150     500       1       1
Star            550     500       1       1
Star            1450    500       1       1
Star            1850    500       1       1
Star            2650    100       1       1
Star            3050    100       1       1
Star            3900    100       1       1
Star            4300    100       1       1
Star            5150    100       1       1
Star            5550    100       1       1
LVL1_1          350     900       1       1
LVL1_1          1650    900       1       1
LVL1_2          2850    800       1       1
LVL1_2          4100    800       1       1
LVL1_2          5350    800       1       1
