5658
				posX    posY    scaleX   scaleY
Ball			50		600      0.25     5658
Rock            300     750       1       1
Enemy           1500    750      0.25     0.25
Enemy           1000    750      0.25     0.25
Enemy           500     750      0.25     0.25
Enemy           2220    250      0.25     0.25
Enemy           3275    500      0.25     0.25
Enemy           3975    500      0.25     0.25
Enemy           4675    500      0.25     0.25
Enemy           5375    500      0.25     0.25
Star            250     500       1       1
Star            1050    500       1       1
Star            1450    500       1       1
Star            2250    100       1       1
Star            650     500       1       1
Star            2650    100       1       1
Star            3275    350       1       1
Star            3975    350       1       1
Star            4675    350       1       1
Star            5375    350       1       1
LVL1_2          2520    750       1       1
LVL2_1          884     900       1       1
LVL2_2          3375    900       1       1
LVL2_2          4075    900       1       1
LVL2_2          4775    900       1       1
LVL2_2          5475    900       1       1
